Scan Id	Parent m/z	TIC	RT	MS Level	Parent Scan	Child Scans	Ion Injection Time	Cycle Time	Elapsed Time	Dead Time	Time To Next Scan	Lock Mass Found	Lock Mass Shift	Conversion Parameter I	Conversion Parameter A	Conversion Parameter B	Conversion Parameter C	Conversion Parameter D	Conversion Parameter E	Dissociation Type	Polymer Segment Size	Polymer Offset	Polymer Score	Polymer p-value	Base Peak m/z	Base Peak Intensity	Second Peak m/z	Second Peak Intensity	Source Current (uA)	Vacuum Ion Gauge (E-5 Torr)	Vacuum Convectron Gauge (Torr)	FT Penning Gauge (E-10 Torr)	FT Pirani Gauge 1 (Torr)	Multiplier 1 (V)	Multiplier 2 (V)	FT CE Measure Voltage (V)	FT Analyzer Temp (C)
8274	853.11	4089197.8	31.4112	2	8272	0	50	0	0	0.07926	0.07926	0	0	0	0	67818137.5598	31643839.7467	0	0	hcd	30	0	0	1	392.321415477	259820.875	481.822492178	210209.0625	0	0	0	0	0	0	0	0	0
8275	476.33	14376827	31.412521	2	8272	0	47.397	0	0	0.08292	0.08292	0	0	0	0	67818097.1243	31643802.0128	0	0	hcd	32	0	0	1	89.0609325985	1895821.375	133.087113287	1150864.625	0	0	0	0	0	0	0	0	0
8276	775.55	4197684	31.413903	2	8272	0	50	0	0	0.09888	0.09888	0	0	0	0	67818137.87	31643840.0375	0	0	hcd	31	0	0	1	353.129506733	381935.53125	392.321456054	280469.875	0	0	0	0	0	0	0	0	0
8277		1330867300	31.415551	1		0	0.18	0.3267	0	0.3267	0.3267	0	0	0	0	67818048.9833	31643757.0887	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8278		1434290700	31.420996	1		5	0.224	0.7152	0	0.7152	0.28662	0	0	0	0	67818018.5886	31643728.724	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8279	647.45	10441261	31.425773	2	8278	0	50	0	0	0.08292	0.08292	0	0	0	0	67818105.2857	31643809.6289	0	0	hcd	79	72	40	8.99584114343e-009	133.087207768	958489.6875	649.399840928	715750.5625	0	0	0	0	0	0	0	0	0
8280	672.42	10516629	31.427155	2	8278	0	50	0	0	0.08274	0.08274	0	0	0	0	67818110.1125	31643814.1349	0	0	hcd	31	0	0	1	413.271273424	868520.875	301.14780162	447517.6875	0	0	0	0	0	0	0	0	0
8281	649.93	12432229	31.428534	2	8278	0	50	0	0	0.0819	0.0819	0	0	0	0	67818098.7411	31643803.5223	0	0	hcd	30	0	0	1	649.399421623	934657.9375	133.087409862	658362.3125	0	0	0	0	0	0	0	0	0
8282	537.38	20248784	31.429899	2	8278	0	50	0	0	0.0818400000001	0.0818400000001	0	0	0	0	67818073.2775	31643779.7601	0	0	hcd	30	0	0	1	355.074685528	973498.75	89.0608981615	845958.1875	0	0	0	0	0	0	0	0	0
8283	586.9	13847046	31.431263	2	8278	0	50	0	0	0.0991799999998	0.0991799999998	0	0	0	0	67818097.3598	31643802.2331	0	0	hcd	30	0	0	1	89.0609162319	1386221.125	133.087162729	907547.5	0	0	0	0	0	0	0	0	0
8284		1587700500	31.432916	1		0	0.139	0.32676	0	0.32676	0.32676	0	0	0	0	67818057.193	31643764.7495	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8285		1718259200	31.438362	1		5	0.201	0.70962	0	0.70962	0.28668	0	0	0	0	67818008.1482	31643718.9807	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8286	638.94	19667602	31.44314	2	8285	0	41.476	0	0	0.0754199999999	0.0754199999999	0	0	0	0	67818087.7281	31643793.2447	0	0	hcd	49	48	38	2.31297968027e-006	89.0609229775	2435171	133.087190445	1744525.125	0	0	0	0	0	0	0	0	0
8287	616.92	23561490	31.444397	2	8285	0	19.825	0	0	0.0829200000002	0.0829200000002	0	0	0	0	67818114.9507	31643818.6484	0	0	hcd	72	64	42	4.68609171087e-009	89.0609519705	3932046.25	133.087228562	2927146	0	0	0	0	0	0	0	0	0
8288	643.47	11648409	31.445779	2	8285	0	50	0	0	0.0826799999999	0.0826799999999	0	0	0	0	67818105.4879	31643809.8182	0	0	hcd	30	0	0	1	89.0609238429	1410145.625	133.087155754	912988.375	0	0	0	0	0	0	0	0	0
8289	625.44	12231312	31.447157	2	8285	0	50	0	0	0.0828599999999	0.0828599999999	0	0	0	0	67818103.603	31643808.0597	0	0	hcd	88	0	39	4.12087996075e-009	89.0609369388	1175220.875	627.384336492	967386.6875	0	0	0	0	0	0	0	0	0
8290	635.39	15196231	31.448538	2	8285	0	50	0	0	0.0990600000002	0.0990600000002	0	0	0	0	67818092.9027	31643798.074	0	0	hcd	31	0	0	1	149.024638539	804583.1875	89.0609727255	798700.375	0	0	0	0	0	0	0	0	0
8291		1535060500	31.450189	1		0	0.122	0.32688	0	0.32688	0.32688	0	0	0	0	67818071.247	31643777.8642	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8292		1771506900	31.455637	1		4	0.187	0.62052	0	0.62052	0.28806	0	0	0	0	67818014.4994	31643724.9081	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8293	813.09	18813996	31.460438	2	8292	0	38.394	0	0	0.0741000000001	0.0741000000001	0	0	0	0	67818100.1454	31643804.8322	0	0	hcd	58	23	83	2.07893820468e-019	149.024989335	768077.75	127.113172927	564628	0	0	0	0	0	0	0	0	0
8294	576.42	21509404	31.461673	2	8292	0	40.595	0	0	0.0754199999999	0.0754199999999	0	0	0	0	67818085.4115	31643791.0827	0	0	hcd	31	0	0	1	577.394452883	2304270.25	89.0609345746	1755885.375	0	0	0	0	0	0	0	0	0
8295	613.91	20534692	31.46293	2	8292	0	22.792	0	0	0.08376	0.08376	0	0	0	0	67818115.4605	31643819.1245	0	0	hcd	30	0	0	1	89.0609718203	597117.8125	149.024808789	569240.8125	0	0	0	0	0	0	0	0	0
8296	627.91	19052026	31.464326	2	8292	0	50	0	0	0.0991800000001	0.0991800000001	0	0	0	0	67818080.087	31643786.1146	0	0	hcd	30	0	0	1	627.383734549	1206695.5	89.0608855017	1206106.375	0	0	0	0	0	0	0	0	0
8297		1496859800	31.465979	1		2	0.145	0.5409	0	0.5409	0.28662	0	0	0	0	67818060.1425	31643767.5017	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8298	563.06	12205280	31.470756	2	8297	0	35.015	0	0	0.15528	0.15528	0	0	0	0	67818114.903	31643818.6045	0	0	hcd	56	32	40	1.66872670244e-006	353.129223805	1234262.5	133.086998898	620226.4375	0	0	0	0	0	0	0	0	0
8299	538.33	20462912	31.473344	2	8297	0	50	0	0	0.0989999999999	0.0989999999999	0	0	0	0	67818072.6773	31643779.199	0	0	hcd	30	0	0	1	355.074305512	851370.4375	89.0608976352	830981.3125	0	0	0	0	0	0	0	0	0
8300		1507471900	31.474994	1		0	0.126	0.32652	0	0.32652	0.32652	0	0	0	0	67818070.6509	31643777.3085	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8301		1647560100	31.480436	1		5	0.187	0.71748	0	0.71748	0.28668	0	0	0	0	67818023.0871	31643732.9219	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
